obs,personid,psu,hhld,id,sex,age,marital,ctzship,current_school,grade_comp,subject_training,need_train_more,mwrk_nsco1,mwrk_nsco4,mwrk_status,mwrk_cnrt_type,mwrk_nsic1,mwrk_nsic4,mwrk_orgtype,mwrk_enttype,mwrk_empnum,mwrk_tenure_envlv,usulhr_mwrk,prd_remu,amt_cashrs,rcvd_kind,faci_mktval,faci_paidval,hhsize,province,urbrur753,season,male,nevermarried,urban,educ,educ1,wage_daily,logwage_daily,avg_exp,avg_exp1,sq_avg_exp
433,12071702,1207,17,2,Female,45,Married,Nepalese,,Nursery/LKG/UKG,,Yes,J,Crop farm labourers,Employee,Temporary,A,Growing of rice,,Don?t know,2-4 persons,Less than 6 months,30,Daily,200,No,,,7,2,Urban,Rainy Season,0,0,1,0,0.5,200,5.2983174,0,0.5,0.25
434,12571202,1257,12,2,Female,28,Married,Nepalese,No,Nursery/LKG/UKG,Construction and building n.e.c.,No,J,Crop farm labourers,Employee,Temporary,A," Growing of cereals (except rice), leguminous crops and oil ",,Don?t know,5-9 persons,5 years - 10 years,36,Daily,200,No,,,4,3,Urban,Dry Season,0,0,1,0,0.5,200,5.2983174,5,5.5,30.25
435,10290902,1029,9,2,Female,40,Married,Nepalese,No,Nursery/LKG/UKG,,No,G,Tree and shrub crop growers,Employee,Permanent,A,Growing of beverage crops,Private nonfinancial institution,An incorporated company,,10 years or more,48,Weekly,1440,Yes,36000,,4,1,Urban,Rainy Season,0,0,1,0,0.5,205.15068,5.3237448,10,10.5,110.25
436,13280301,1328,3,1,Male,16,Never married,Indian,No,Nursery/LKG/UKG,,No,J," Cleaners and helpers in offices, hotels and other establish",Employee,Temporary,I,Restaurants and mobile food service activities,Private nonfinancial institution,Private business,10-19 persons,1 year - 3 years,45,Monthly,6400,No,38000,,2,3,Urban,Winter Season,1,1,1,0,0.5,210.41096,5.3490624,1,1.5,2.25
437,13280302,1328,3,2,Male,13,Never married,Indian,No,Class 4,,,F,Waiters,Employee,Temporary,I,Restaurants and mobile food service activities,Private nonfinancial institution,Private business,5-9 persons,1 year - 3 years,45,Monthly,6400,No,35000,,2,3,Urban,Winter Season,1,1,1,4,4.5,210.41096,5.3490624,1,1.5,2.25
438,10291904,1029,19,4,Male,19,Never married,Nepalese,No,Class 5,Driving skills and motor vehicle operation,No,J,Hand packers,Employee,Temporary,G," Retail sale in non-specialized stores with food, beverages ",,Private business,2-4 persons,Less than 6 months,72,Monthly,6400,No,,,5,1,Urban,Rainy Season,1,1,1,5,5.5,210.41096,5.3490624,0,0.5,0.25
439,13031602,1303,16,2,Female,49,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Domestic cleaners and helpers,Employee,Temporary,T,Activities of households as employers of domestic personnel,,Private business,1 person,10 years or more,48,Monthly,6500,No,25000,,4,3,Urban,Dry Season,0,0,1,0,0.5,213.69862,5.3645668,10,10.5,110.25
440,16551503,1655,15,3,Male,24,Married,Nepalese,No,Class 6,,Yes,J,Freight handlers,Employee,Temporary,I,Beverage serving activities,Private financial institution,Private business,2-4 persons,1 year - 3 years,72,Monthly,6500,No,,,6,5,Urban,Winter Season,1,0,1,6,6.5,213.69862,5.3645668,1,1.5,2.25
441,10580201,1058,2,1,Male,27,Never married,Nepalese,Yes,Bachelor Level and equiv.,,No,E,Accounting and bookkeeping clerks,Employee,Temporary,Q,Hospital activities,Private nonfinancial institution,An incorporated company,,6 months - 1 year,48,Monthly,6500,No,,,2,1,Urban,Winter Season,1,1,1,15,15.5,213.69862,5.3645668,0.5,1,1
442,10731001,1073,10,1,Male,27,Married,Nepalese,No,SLC and equiv.,Driving skills and motor vehicle operation,No,I,Bus and tram drivers,Employee,Temporary,P,General secondary education,Other,An incorporated company,,1 year - 3 years,24,Monthly,6500,No,,,4,1,Rural,Dry Season,1,0,0,11,11.5,213.69862,5.3645668,1,1.5,2.25
443,16140601,1614,6,1,Female,36,Married,Nepalese,No,Class 7,,Yes,J," Cleaners and helpers in offices, hotels and other establish",Employee,Temporary,P,Pre-primary and primary education,Private nonfinancial institution,An incorporated company,,3 years - 5 years,40,Monthly,6500,No,,,3,5,Urban,Winter Season,0,0,1,7,7.5,213.69862,5.3645668,3,3.5,12.25
444,13561905,1356,19,5,Female,19,Never married,Nepalese,Yes,Class 12 and Intermediate,,Yes,C,Primary school teachers,Employee,Temporary,P,Pre-primary and primary education,Private nonfinancial institution,An incorporated company,,6 months - 1 year,44,Monthly,6500,No,,,7,3,Rural,Dry Season,0,1,0,12,12.5,213.69862,5.3645668,0.5,1,1
445,12450301,1245,3,1,Male,20,Never married,Nepalese,Yes,Class 12 and Intermediate,,No,E,Debt-collectors and related workers,Employee,Temporary,K,Other monetary intermediation,Private financial institution,Private business,5-9 persons,10 years or more,30,Monthly,6500,No,,,2,2,Urban,Winter Season,1,1,1,12,12.5,213.69862,5.3645668,10,10.5,110.25
446,16471601,1647,16,1,Male,32,Married,Nepalese,No,Nursery/LKG/UKG,,No,H," Tailors, dressmakers, furriers and hatters",Employee,Temporary,C," Manufacture of wearing apparel, except fur apparel",,Private business,2-4 persons,6 months - 1 year,48,Weekly,1500,No,,,5,5,Urban,Rainy Season,1,0,1,0,0.5,213.69862,5.3645668,0.5,1,1
447,10810702,1081,7,2,Female,35,Married,Nepalese,No,SLC and equiv.,Other Programmes in teacher training,Yes,C,Primary school teachers,Employee,Temporary,P,Pre-primary and primary education,Private nonfinancial institution,An incorporated company,,5 years - 10 years,42,Monthly,6500,No,,,3,1,Rural,Rainy Season,0,0,0,11,11.5,213.69862,5.3645668,5,5.5,30.25
448,13740701,1374,7,1,Female,24,Married,Nepalese,No,Class 8,,Yes,J," Cleaners and helpers in offices, hotels and other establish",Employee,Temporary,I,Restaurants and mobile food service activities,,Private business,2-4 persons,Less than 6 months,63,Monthly,6500,No,3000,,4,3,Rural,Winter Season,0,0,0,8,8.5,213.69862,5.3645668,0,0.5,0.25
449,13291803,1329,18,3,Male,18,Never married,Nepalese,No,Class 7,,No,F,Waiters,Employee,Temporary,I,Restaurants and mobile food service activities,Private nonfinancial institution,An incorporated company,,1 year - 3 years,53,Monthly,6500,No,10000,,6,3,Urban,Dry Season,1,1,1,7,7.5,213.69862,5.3645668,1,1.5,2.25
450,10180902,1018,9,2,Female,50,Married,Nepalese,,Nursery/LKG/UKG,,No,G,Tree and shrub crop growers,Employee,Temporary,A,Growing of beverage crops,Private nonfinancial institution,Private business,5-9 persons,3 years - 5 years,48,Weekly,1500,Yes,,,4,1,Urban,Rainy Season,0,0,1,0,0.5,213.69862,5.3645668,3,3.5,12.25
451,12581603,1258,16,3,Male,19,Never married,Nepalese,No,Class 5,,Yes,F,Waiters,Employee,Temporary,I,Restaurants and mobile food service activities,Private financial institution,Private business,5-9 persons,6 months - 1 year,56,Monthly,6500,No,48000,,5,3,Rural,Rainy Season,1,1,0,5,5.5,213.69862,5.3645668,0.5,1,1
452,10921502,1092,15,2,Female,32,Married,Nepalese,No,Nursery/LKG/UKG,,No,J,Manufacturing labourers not elsewhere classified,Employee,Temporary,C,Manufacture of structural metal products,,Private business,20 persons and more,6 months - 1 year,48,Daily,220,No,,,5,1,Urban,Rainy Season,0,0,1,0,0.5,220,5.3936276,0.5,1,1
453,10950502,1095,5,2,Female,46,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Manufacturing labourers not elsewhere classified,Employee,Permanent,C,Manufacture of carpets and rugs,Private nonfinancial institution,An incorporated company,,10 years or more,34,Monthly,6700,No,,,3,1,Urban,Winter Season,0,0,1,0,0.5,220.27397,5.3948722,10,10.5,110.25
454,10291301,1029,13,1,Male,55,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Growing of beverage crops,Private nonfinancial institution,Private business,20 persons and more,10 years or more,42,Weekly,1600,No,8000,,4,1,Urban,Rainy Season,1,0,1,0,0.5,227.94521,5.4291053,10,10.5,110.25
455,10291302,1029,13,2,Female,51,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Growing of beverage crops,Private nonfinancial institution,Private business,20 persons and more,10 years or more,42,Weekly,1600,No,3000,,4,1,Urban,Rainy Season,0,0,1,0,0.5,227.94521,5.4291053,10,10.5,110.25
456,10291303,1029,13,3,Male,17,Never married,Nepalese,No,Class 5,,No,J,Crop farm labourers,Employee,Temporary,A,Growing of beverage crops,Private nonfinancial institution,Private business,20 persons and more,10 years or more,42,Weekly,1600,No,,,4,1,Urban,Rainy Season,1,1,1,5,5.5,227.94521,5.4291053,10,10.5,110.25
457,10291101,1029,11,1,Male,45,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Growing of beverage crops,Private nonfinancial institution,Private business,20 persons and more,3 years - 5 years,42,Weekly,1600,Yes,,,4,1,Urban,Rainy Season,1,0,1,0,0.5,227.94521,5.4291053,3,3.5,12.25
458,10291102,1029,11,2,Female,38,Married,Nepalese,No,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Growing of beverage crops,Private nonfinancial institution,Private business,20 persons and more,3 years - 5 years,42,Weekly,1600,No,,,4,1,Urban,Rainy Season,0,0,1,0,0.5,227.94521,5.4291053,3,3.5,12.25
459,10621402,1062,14,2,Female,30,Married,Nepalese,No,Class 5,,No,J,Manufacturing labourers not elsewhere classified,Employee,Temporary,C,Manufacture of veneer sheets and wood-based panels,,Private business,20 persons and more,6 months - 1 year,56,Daily,230,No,,,6,1,Urban,Rainy Season,0,0,1,5,5.5,230,5.4380794,0.5,1,1
460,18320202,1832,2,2,Female,24,Married,Nepalese,No,Master Level and above,,No,C,Early childhood educators,Employee,Temporary,P,Pre-primary and primary education,Non-profit institution,An incorporated company,,5 years - 10 years,33,Monthly,7000,No,,,2,7,Rural,Dry Season,0,0,0,18,18.5,230.13699,5.4386749,5,5.5,30.25
461,14822005,1482,20,5,Male,17,Never married,Nepalese,No,Class 8,,No,F,Waiters,Employee,Temporary,I,Restaurants and mobile food service activities,Private nonfinancial institution,Private business,5-9 persons,Less than 6 months,56,Monthly,7000,No,72000,,7,4,Rural,Dry Season,1,1,0,8,8.5,230.13699,5.4386749,0,0.5,0.25
462,13170904,1317,9,4,Male,17,Never married,Nepalese,No,Class 10,,No,F,Door to door salespersons,Employee,Temporary,G," Retail sale of pharmaceutical and medical goods, cosmetic a",,Private business,20 persons and more,Less than 6 months,50,Monthly,7000,No,,,4,3,Urban,Rainy Season,1,1,1,10,10.5,230.13699,5.4386749,0,0.5,0.25
463,10631603,1063,16,3,Female,18,Never married,Nepalese,No,SLC and equiv.,,Yes,J,Hand packers,Employee,Temporary,G," Retail sale via stalls and markets of food, beverages and t",,Private business,5-9 persons,Less than 6 months,43,Monthly,7000,No,,,6,1,Urban,Dry Season,0,1,1,11,11.5,230.13699,5.4386749,0,0.5,0.25
464,13220902,1322,9,2,Female,29,Married,Nepalese,No,SLC and equiv.,,No,C,Early childhood educators,Employee,Temporary,P,Pre-primary and primary education,Private nonfinancial institution,An incorporated company,,6 months - 1 year,40,Monthly,7000,No,,,3,3,Urban,Rainy Season,0,0,1,11,11.5,230.13699,5.4386749,0.5,1,1
465,13611201,1361,12,1,Female,40,Married,Nepalese,No,Nursery/LKG/UKG,,Yes,J," Cleaners and helpers in offices, hotels and other establish",Employee,Temporary,P,Educational support activities,Private nonfinancial institution,An incorporated company,,5 years - 10 years,48,Monthly,7000,No,,,3,3,Rural,Rainy Season,0,0,0,0,0.5,230.13699,5.4386749,5,5.5,30.25
466,13150101,1315,1,1,Female,29,Separated,Nepalese,No,Class 9,,No,J," Cleaners and helpers in offices, hotels and other establish",Employee,Temporary,G," Retail sale in non-specialized stores with food, beverages ",Private nonfinancial institution,Private business,5-9 persons,Less than 6 months,70,Monthly,7000,No,35000,,1,3,Urban,Rainy Season,0,0,1,9,9.5,230.13699,5.4386749,0,0.5,0.25
467,15011905,1501,19,5,Female,26,Married,Nepalese,No,Bachelor Level and equiv.,,No,D,Nursing associate professionals,Employee,Temporary,Q,Hospital activities,Private nonfinancial institution,An incorporated company,,1 year - 3 years,45,Monthly,7000,No,,,8,4,Rural,Winter Season,0,0,0,15,15.5,230.13699,5.4386749,1,1.5,2.25
468,13301902,1330,19,2,Female,37,Married,Indian,No,Class 12 and Intermediate,,Yes,F,Beauticians and related workers,Employee,Temporary,S,Hairdressing and other beauty treatment,Private nonfinancial institution,Private business,2-4 persons,5 years - 10 years,48,Monthly,7000,No,,,6,3,Urban,Dry Season,0,0,1,12,12.5,230.13699,5.4386749,5,5.5,30.25
469,14051301,1405,13,1,Male,50,Married,Nepalese,,Class 6,,No,I,Food and related products machine operators,Employee,Temporary,C,Manufacture of grain mill products,Private financial institution,Private business,2-4 persons,Less than 6 months,60,Monthly,7000,No,,,4,3,Urban,Winter Season,1,0,1,6,6.5,230.13699,5.4386749,0,0.5,0.25
470,13460503,1346,5,3,Male,19,Never married,Nepalese,No,Class 5,,No,J,Manufacturing labourers not elsewhere classified,Employee,Temporary,C,Manufacture of soft drinks; production of mineral waters an,Private nonfinancial institution,Private business,20 persons and more,Less than 6 months,56,Monthly,7000,No,,,3,3,Urban,Dry Season,1,1,1,5,5.5,230.13699,5.4386749,0,0.5,0.25
471,12452007,1245,20,7,Female,24,Never married,Nepalese,No,Class 10,,No,J,Hand packers,Employee,Temporary,C,Other manufacturing n.e.c.,Private nonfinancial institution,Private business,10-19 persons,5 years - 10 years,56,Monthly,7000,No,,,8,2,Urban,Winter Season,0,1,1,10,10.5,230.13699,5.4386749,5,5.5,30.25
472,10410802,1041,8,2,Female,28,Married,Nepalese,No,Bachelor Level and equiv.,,Yes,C,Primary school teachers,Employee,Temporary,P,Pre-primary and primary education,Private nonfinancial institution,An incorporated company,,1 year - 3 years,36,Monthly,7000,No,,,3,1,Urban,Dry Season,0,0,1,15,15.5,230.13699,5.4386749,1,1.5,2.25
473,16481705,1648,17,5,Male,19,Never married,Nepalese,No,Class 5,,No,I,Metal processing plant operators,Employee,Temporary,C,Manufacture of structural metal products,Other,Private business,5-9 persons,1 year - 3 years,72,Monthly,7000,No,,,8,5,Urban,Dry Season,1,1,1,5,5.5,230.13699,5.4386749,1,1.5,2.25
474,16561203,1656,12,3,Male,17,Never married,Nepalese,No,Class 5,,Yes,F,Protective services workers not elsewhere classified,Employee,Temporary,C,Manufacture of clay building materials,Private financial institution,An incorporated company,,Less than 6 months,56,Monthly,7000,No,,,5,5,Urban,Rainy Season,1,1,1,5,5.5,230.13699,5.4386749,0,0.5,0.25
475,10221303,1022,13,3,Female,21,Never married,Nepalese,Yes,Class 12 and Intermediate,"Dressmaking, tailoring",No,E,Debt-collectors and related workers,Employee,Temporary,K,Other monetary intermediation,Private financial institution,An incorporated company,,1 year - 3 years,36,Monthly,7000,No,,,5,1,Rural,Rainy Season,0,1,0,12,12.5,230.13699,5.4386749,1,1.5,2.25
476,12452006,1245,20,6,Female,25,Never married,Nepalese,No,Class 8,Trade and industry work n.e.c.,No,J,Hand packers,Employee,Temporary,C,Other manufacturing n.e.c.,Private nonfinancial institution,Private business,10-19 persons,5 years - 10 years,56,Monthly,7000,No,,,8,2,Urban,Winter Season,0,1,1,8,8.5,230.13699,5.4386749,5,5.5,30.25
477,15831403,1583,14,3,Female,22,Never married,Nepalese,Yes,Class 12 and Intermediate,"Agriculture, animal husbandry",No,E,Accounting and bookkeeping clerks,Employee,Temporary,G," Wholesale of agricultural machinery, equipment and supplies",Private nonfinancial institution,Private business,20 persons and more,Less than 6 months,40,Monthly,7000,No,,,5,5,Urban,Winter Season,0,1,1,12,12.5,230.13699,5.4386749,0,0.5,0.25
478,14051601,1405,16,1,Male,55,Single woman/man,Nepalese,,Nursery/LKG/UKG,,No,H,Bricklayers and related workers,Employee,Temporary,F,Construction of buildings,,Don?t know,2-4 persons,10 years or more,56,Monthly,7000,No,,,5,3,Urban,Winter Season,1,0,1,0,0.5,230.13699,5.4386749,10,10.5,110.25
479,12101903,1210,19,3,Male,18,Never married,Nepalese,No,Class 9,,No,F,Shop sales assistants,Employee,Temporary,N,Travel agency activities,,Private business,2-4 persons,6 months - 1 year,42,Monthly,7000,No,,,8,2,Urban,Rainy Season,1,1,1,9,9.5,230.13699,5.4386749,0.5,1,1
480,13081101,1308,11,1,Male,45,Married,Nepalese,,Class 10,,No,H,Plumbers and pipe fitters,Employee,Temporary,F," Plumbing, heat and air-conditioning installation",,Private business,2-4 persons,5 years - 10 years,48,Monthly,7000,No,12000,,4,3,Urban,Dry Season,1,0,1,10,10.5,230.13699,5.4386749,5,5.5,30.25
481,18022003,1802,20,3,Male,27,Married,Nepalese,Yes,Bachelor Level and equiv.,,Yes,C,Secondary education teachers,Employee,Temporary,P,General secondary education,Private financial institution,An incorporated company,,5 years - 10 years,42,Monthly,7000,No,,,8,7,Urban,Rainy Season,1,0,1,15,15.5,230.13699,5.4386749,5,5.5,30.25
482,13301504,1330,15,4,Male,28,Never married,Nepalese,No,Bachelor Level and equiv.,,No,F,Waiters,Employee,Temporary,I,Restaurants and mobile food service activities,Private nonfinancial institution,An incorporated company,,Less than 6 months,55,Monthly,7000,No,32000,,4,3,Urban,Dry Season,1,1,1,15,15.5,230.13699,5.4386749,0,0.5,0.25
483,10420502,1042,5,2,Male,22,Never married,Nepalese,Yes,Class 12 and Intermediate,,No,F,Shop sales assistants,Employee,Temporary,G," Retail sale of pharmaceutical and medical goods, cosmetic a",,Private business,2-4 persons,1 year - 3 years,25,Monthly,7000,No,,,2,1,Urban,Dry Season,1,1,1,12,12.5,230.13699,5.4386749,1,1.5,2.25
484,12151004,1215,10,4,Male,24,Married,Nepalese,No,SLC and equiv.,,Yes,H,Building and related electricians,Employee,Temporary,R,Other amusement and recreation activities n.e.c.,Private nonfinancial institution,Private business,5-9 persons,6 months - 1 year,72,Monthly,7000,No,,,5,2,Urban,Dry Season,1,0,1,11,11.5,230.13699,5.4386749,0.5,1,1
485,17190102,1719,1,2,Male,17,Never married,Nepalese,Yes,SLC and equiv.,Mechanic trades (including mechanical repair),No,J,Garden and horticultural labourers,Employee,Temporary,A,Plant propagation,Private nonfinancial institution,Private business,5-9 persons,Less than 6 months,48,Monthly,7000,No,,,2,6,Rural,Winter Season,1,1,0,11,11.5,230.13699,5.4386749,0,0.5,0.25
486,12661003,1266,10,3,Male,18,Never married,Nepalese,No,Class 6,,Yes,F,Transport conductors,Employee,Temporary,H,Freight transport by road,,Private business,2-4 persons,Less than 6 months,60,Monthly,7000,No,35000,,4,3,Urban,Dry Season,1,1,1,6,6.5,230.13699,5.4386749,0,0.5,0.25
487,14822006,1482,20,6,Female,14,Never married,Nepalese,No,Class 5,,No,J," Cleaners and helpers in offices, hotels and other establish",Employee,Temporary,I,Restaurants and mobile food service activities,Private nonfinancial institution,Private business,5-9 persons,Less than 6 months,56,Monthly,7000,No,7000,,7,4,Rural,Dry Season,0,1,0,5,5.5,230.13699,5.4386749,0,0.5,0.25
488,14072003,1407,20,3,Male,25,Married,Nepalese,No,SLC and equiv.,,No,J,Mining and quarrying labourers,Employee,Permanent,B," Quarr ying of stone, sand and clay",Private nonfinancial institution,An incorporated company,,1 year - 3 years,49,Monthly,7000,No,,,11,3,Urban,Rainy Season,1,0,1,11,11.5,230.13699,5.4386749,1,1.5,2.25
489,12311001,1231,10,1,Male,37,Married,Nepalese,No,Nursery/LKG/UKG,Driving skills and motor vehicle operation,Yes,I,Mobile farm and forestry plant operators,Employee,Temporary,A,Support activities for crop production,,Private business,2-4 persons,10 years or more,56,Monthly,7000,No,,,6,2,Rural,Rainy Season,1,0,0,0,0.5,230.13699,5.4386749,10,10.5,110.25
490,10791904,1079,19,4,Male,16,Never married,Nepalese,No,Nursery/LKG/UKG,,No,H,Printers,Employee,Temporary,C,Printing,Private nonfinancial institution,Private business,10-19 persons,6 months - 1 year,60,Monthly,7000,No,8000,,9,1,Rural,Rainy Season,1,1,0,0,0.5,230.13699,5.4386749,0.5,1,1
491,10411703,1041,17,3,Male,22,Never married,Nepalese,No,Class 5,,No,J,Freight handlers,Employee,Temporary,H,Freight transport by road,,Private business,2-4 persons,6 months - 1 year,48,Monthly,7000,No,,,5,1,Urban,Dry Season,1,1,1,5,5.5,230.13699,5.4386749,0.5,1,1
492,10161503,1016,15,3,Female,23,Never married,Nepalese,Yes,Class 12 and Intermediate,"Hairdressing, beauty work",No,F,Shop sales assistants,Employee,Temporary,G," Retail sale of pharmaceutical and medical goods, cosmetic a",Private nonfinancial institution,Private business,2-4 persons,Less than 6 months,42,Monthly,7000,No,,,4,1,Urban,Dry Season,0,1,1,12,12.5,230.13699,5.4386749,0,0.5,0.25
493,10801705,1080,17,5,Female,22,Never married,Nepalese,No,Class 12 and Intermediate,,No,F,Cashiers and ticket clerks,Employee,Permanent,G," Retail sale in non-specialized stores with food, beverages ",Private financial institution,Private business,20 persons and more,1 year - 3 years,66,Monthly,7000,No,,,5,1,Urban,Winter Season,0,1,1,12,12.5,230.13699,5.4386749,1,1.5,2.25
494,11870503,1187,5,3,Male,24,Never married,Nepalese,No,Class 10,,No,H,Motor vehicle mechanics and repairers,Employee,Temporary,G," Sale, maintenance and repair of motorcycles and related par",,Private business,2-4 persons,Less than 6 months,48,Monthly,7000,No,,,3,2,Urban,Rainy Season,1,1,1,10,10.5,230.13699,5.4386749,0,0.5,0.25
495,14822004,1482,20,4,Male,15,Never married,Nepalese,No,Class 5,,No,F,Waiters,Employee,Temporary,I,Restaurants and mobile food service activities,Private nonfinancial institution,Private business,5-9 persons,Less than 6 months,56,Monthly,7000,No,72000,,7,4,Rural,Dry Season,1,1,0,5,5.5,230.13699,5.4386749,0,0.5,0.25
496,15841001,1584,10,1,Female,22,Never married,Nepalese,Yes,Class 12 and Intermediate,,Yes,C,Primary school teachers,Employee,Temporary,P,Pre-primary and primary education,Private nonfinancial institution,An incorporated company,,1 year - 3 years,40,Monthly,7000,No,,,4,5,Urban,Dry Season,0,1,1,12,12.5,230.13699,5.4386749,1,1.5,2.25
497,18531805,1853,18,5,Male,21,Married,Nepalese,No,Class 7,,No,H,Shotfirers and blasters,Employee,Temporary,F,Construction of roads and railways,,Don?t know,5-9 persons,Less than 6 months,55,Monthly,7000,No,,,8,7,Urban,Rainy Season,1,0,1,7,7.5,230.13699,5.4386749,0,0.5,0.25
498,13741706,1374,17,6,Male,19,Never married,Nepalese,Yes,Class 12 and Intermediate,,No,F,Shop sales assistants,Employee,Temporary,G," Retail sale in non-specialized stores with food, beverages ",,Private business,2-4 persons,Less than 6 months,58,Monthly,7000,No,,,6,3,Rural,Winter Season,1,1,0,12,12.5,230.13699,5.4386749,0,0.5,0.25
499,14291003,1429,10,3,Female,21,Never married,Nepalese,Yes,Class 12 and Intermediate,,No,C,Primary school teachers,Employee,Permanent,P,Pre-primary and primary education,Private nonfinancial institution,An incorporated company,,6 months - 1 year,40,Monthly,7000,No,,,4,4,Urban,Dry Season,0,1,1,12,12.5,230.13699,5.4386749,0.5,1,1
500,12452003,1245,20,3,Female,28,Never married,Nepalese,No,Class 9,,No,E,Receptionists (general),Employee,Temporary,C,Other manufacturing n.e.c.,Private nonfinancial institution,Private business,10-19 persons,5 years - 10 years,56,Monthly,7000,No,,,8,2,Urban,Winter Season,0,1,1,9,9.5,230.13699,5.4386749,5,5.5,30.25
501,18061002,1806,10,2,Female,30,Married,Nepalese,Yes,Class 12 and Intermediate,General Education,No,C,Early childhood educators,Employee,Temporary,P,Pre-primary and primary education,Private nonfinancial institution,An incorporated company,,1 year - 3 years,40,Monthly,7000,No,,,3,7,Urban,Dry Season,0,0,1,12,12.5,230.13699,5.4386749,1,1.5,2.25
502,18351904,1835,19,4,Female,27,Married,Nepalese,No,Class 10,,No,E,Debt-collectors and related workers,Employee,Temporary,K,Other credit granting,Private financial institution,An incorporated company,,1 year - 3 years,48,Monthly,7000,No,,,8,7,Rural,Dry Season,0,0,0,10,10.5,230.13699,5.4386749,1,1.5,2.25
503,14220101,1422,1,1,Male,24,Never married,Nepalese,No,Class 8,,No,F,Sales workers not elsewhere classified,Employee,Temporary,G," Retail sale of hardware, paints and glass in specialized st",,Private business,2-4 persons,6 months - 1 year,56,Monthly,7000,No,,,1,4,Urban,Dry Season,1,1,1,8,8.5,230.13699,5.4386749,0.5,1,1
504,13291802,1329,18,2,Male,22,Married,Nepalese,No,Class 8,,No,F,Cooks,Employee,Temporary,I,Restaurants and mobile food service activities,Private nonfinancial institution,An incorporated company,,3 years - 5 years,58,Monthly,7000,No,7000,,6,3,Urban,Dry Season,1,0,1,8,8.5,230.13699,5.4386749,3,3.5,12.25
505,18390101,1839,1,1,Female,23,Never married,Nepalese,Yes,Class 12 and Intermediate,,Yes,C,Early childhood educators,Employee,Temporary,P,Pre-primary and primary education,Private nonfinancial institution,An incorporated company,,6 months - 1 year,36,Monthly,7000,No,,,1,7,Urban,Dry Season,0,1,1,12,12.5,230.13699,5.4386749,0.5,1,1
506,13270804,1327,8,4,Female,21,Never married,Nepalese,No,SLC and equiv.,,No,E,Debt-collectors and related workers,Employee,Temporary,K,Other monetary intermediation,Private financial institution,An incorporated company,,1 year - 3 years,36,Monthly,7000,No,,,6,3,Urban,Rainy Season,0,1,1,11,11.5,230.13699,5.4386749,1,1.5,2.25
507,14160502,1416,5,2,Female,37,Married,Nepalese,No,Nursery/LKG/UKG,,No,J,Other cleaning workers,Employee,Temporary,,,,,,1 year - 3 years,35,Monthly,7000,No,,,3,4,Rural,Winter Season,0,0,0,0,0.5,230.13699,5.4386749,1,1.5,2.25
508,13111904,1311,19,4,Female,23,Never married,Nepalese,No,Class 9,,No,E,Personnel clerks,Employee,Temporary,K,Other monetary intermediation,Private financial institution,An incorporated company,,5 years - 10 years,40,Monthly,7000,No,,,6,3,Urban,Rainy Season,0,1,1,9,9.5,230.13699,5.4386749,5,5.5,30.25
509,13301503,1330,15,3,Male,28,Never married,Nepalese,No,Class 12 and Intermediate,,No,E,Receptionists (general),Employee,Temporary,I,Restaurants and mobile food service activities,Private nonfinancial institution,An incorporated company,,Less than 6 months,56,Monthly,7000,No,36000,,4,3,Urban,Dry Season,1,1,1,12,12.5,230.13699,5.4386749,0,0.5,0.25
510,10491704,1049,17,4,Female,24,Married,Nepalese,No,SLC and equiv.,,Yes,E,Debt-collectors and related workers,Employee,Temporary,K,Other activities auxiliary to financial service activities,Private financial institution,An incorporated company,,1 year - 3 years,48,Monthly,7000,No,,,6,1,Urban,Dry Season,0,0,1,11,11.5,230.13699,5.4386749,1,1.5,2.25
511,12452004,1245,20,4,Female,27,Never married,Nepalese,No,Class 9,,No,J,Hand packers,Employee,Temporary,C,Other manufacturing n.e.c.,Private nonfinancial institution,Private business,10-19 persons,5 years - 10 years,56,Monthly,7000,No,,,8,2,Urban,Winter Season,0,1,1,9,9.5,230.13699,5.4386749,5,5.5,30.25
512,10372001,1037,20,1,Male,35,Married,Nepalese,No,Class 7,,Yes,F,Protective services workers not elsewhere classified,Employee,Temporary,A,Support services to forestry,Non-profit institution,An incorporated company,,Less than 6 months,56,Monthly,7000,No,,,8,1,Rural,Dry Season,1,0,0,7,7.5,230.13699,5.4386749,0,0.5,0.25
513,15611704,1561,17,4,Female,23,Never married,Nepalese,No,Class 12 and Intermediate,,Yes,E,Debt-collectors and related workers,Employee,Temporary,K,Other monetary intermediation,,Private business,2-4 persons,3 years - 5 years,48,Monthly,7000,No,,,6,4,Urban,Rainy Season,0,1,1,12,12.5,230.13699,5.4386749,3,3.5,12.25
